ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237652629098266685,359.245344015005,-10.7344226490763,-3797.261,18.02723,17.03848,16.62228,16.2455,13.934,13.701,18.72662,17.88655,17.46778,12.646,9999,15.511,0.069,14.821,0.071,14.444,0.09,20.0057,0.1191002
1237652629098266742,359.250172058258,-10.7082881904717,-2998.058,18.72631,17.57291,17.08775,16.7333,14.426,14.221,20.36592,19.39366,18.88425,11.838,0.242,16.727,0.165,16.223,0.192,15.223,0.175,20.39756,0.1983015
1237652629098266748,359.339137587905,-10.7261470951055,-784.091,20.11454,18.49224,17.86659,17.46068,14.419,14.247,20.83125,19.39868,18.81987,12.695,9999,16.777,0.148,15.8,0.121,14.919,0.135,22.1689,0.3026779
1237652629098266813,359.244296134435,-10.6435427131351,-2059.022,18.24489,17.6755,17.33673,17.1153,15.151,14.973,20.09432,19.86194,19.53901,11.69,0.204,9999,9999,9999,9999,9999,9999,19.59922,0.1295743
1237652629098267000,359.271256360508,-10.5845874438522,-376.5352,20.15295,19.02185,18.51328,18.31969,15.639,15.232,21.27817,20.39751,19.87414,12.649,9999,9999,9999,9999,9999,9999,9999,21.14308,0.302134
1237652629098332189,359.355270361092,-10.6596546106223,-4911.194,18.165,17.42272,17.00918,16.78699,14.26,13.975,19.08713,18.52671,18.13765,10.791,0.099,16.079,0.097,15.419,0.105,14.813,0.115,19.91888,0.1156722
1237652629098332223,359.431211258646,-10.675510732744,-2369.763,18.31407,17.38315,16.91329,16.60896,14.175,13.826,19.53908,18.67998,18.21367,10.409,0.07,16.281,0.124,15.535,0.118,14.808,0.127,19.62821,0.1966253
1237652629098332250,359.376509307064,-10.7082068424058,-2624.028,18.90424,17.23837,16.66111,16.26992,14.115,13.767,20.85447,19.44313,18.89973,12.649,9999,16.681,0.166,15.807,0.147,15.268,0.183,25.88618,0.302686
1237652629098332494,359.410715379949,-10.6623287859248,-11.02867,23.68881,20.63913,19.52219,18.98123,15.435,15.098,24.08605,21.70053,20.60419,12.517,9999,9999,9999,9999,9999,9999,9999,22.70431,0.5622965
1237652629098397741,359.564351362144,-10.6668793992993,-1681.147,18.49273,17.73741,17.33085,17.05875,14.763,14.65,19.0568,18.42352,18.06134,11.899,0.261,16.167,0.09,15.575,0.107,15.135,0.155,19.94844,0.07614602
1237652629098397883,359.51786023307,-10.746797969814,-23.47076,21.19743,20.20416,19.37306,18.86421,15.945,15.883,22.09262,21.41532,20.3985,12.051,9999,9999,9999,9999,9999,9999,9999,21.81117,0.5675333
1237652629098398049,359.644191209079,-10.7819537004022,-296.7773,20.52929,18.77028,18.17189,17.79223,14.79,14.462,21.49172,19.83363,19.24526,12.254,9999,9999,9999,9999,9999,9999,9999,27.02225,0.360983
1237652629098398094,359.511449666304,-10.5874143309735,-12.43878,22.52724,20.82058,19.70719,18.91728,15.247,15.565,23.13424,21.45082,20.35316,12.675,9999,9999,9999,9999,9999,9999,9999,22.42828,0.5995181
1237652629098463331,359.768777943195,-10.6041675238363,-5983.497,18.1829,17.26277,16.77491,16.37387,13.705,13.438,19.51529,18.67334,18.15993,10,0.053,16.005,0.108,15.198,0.113,14.48,0.114,20.04749,0.08341199
1237652629098463370,359.792496142146,-10.6989488043331,-865.9972,19.85122,18.2373,17.62877,17.27703,14.387,14.198,20.79004,19.2697,18.70088,12.425,0.422,16.838,0.173,15.794,0.142,15.058,0.148,23.44732,0.3053957
1237652629098463423,359.788780149776,-10.6205796104854,-2516.59,18.53107,17.71458,17.28523,17.02325,14.708,14.39,20.24066,19.54025,19.08579,11.132,0.136,16.907,0.171,16.42,0.215,14.471,9999,19.37672,0.2140918
1237652629098463523,359.687996038016,-10.7331896758019,-27.96485,21.51527,19.68424,19.0051,18.73825,15.348,15.027,22.09679,20.42725,19.73014,12.708,9999,9999,9999,9999,9999,9999,9999,21.60911,0.4127005
1237652629098463736,359.798748767761,-10.7585237695982,-15.66955,22.28884,20.5081,19.69274,19.30382,15.783,15.581,22.70936,21.14939,20.3774,12.577,0.498,9999,9999,9999,9999,9999,9999,25.77614,0.4213623
1237652629098528827,359.809831352907,-10.7648626883477,-2496.094,18.40605,17.40091,16.98337,16.61993,14.14,14.021,18.95217,18.01696,17.60386,12.236,0.36,15.786,0.079,15.169,0.072,14.625,0.103,20.53897,0.1038523
1237652629098528835,359.832942499191,-10.6124211073773,-4361.457,18.21061,17.07161,16.55899,16.18743,13.663,13.431,19.35981,18.31045,17.78654,10.819,0.102,15.625,0.087,15.101,0.092,14.349,0.091,20.20622,0.1707827
1237652629098528890,359.911066143468,-10.598889554789,-2496.223,18.3796,17.37017,16.97173,16.69493,14.357,14.189,19.33623,18.39578,17.99909,12.22,9999,16.207,0.101,15.457,0.111,14.914,0.14,20.54443,0.1121267
1237652629098528894,359.913396374859,-10.6439240696145,-18654.94,16.72228,15.80753,15.39792,15.08094,13.013,12.981,18.09011,17.25416,16.83751,12.668,9999,14.917,0.073,14.228,0.078,13.868,0.079,18.59506,0.08275387
1237652629098528903,359.915158123111,-10.7853990727713,-1963.181,18.47434,17.62351,17.26545,16.97982,14.559,14.41,18.83766,18.05598,17.71381,12.09,9999,16.162,0.099,15.207,0.099,14.938,0.126,20.37661,0.08243928
1237652629098528964,359.827204693656,-10.6471131550109,-2132.518,17.85507,17.45289,17.15833,17.08382,15.474,15.343,19.92776,19.63085,19.28001,11.592,0.204,9999,9999,9999,9999,9999,9999,18.98646,0.08350933
