ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237652629641887863,14.8987877404743,-10.1922824405104,-146.3152,20.20965,19.18377,18.69469,18.42009,15.013,14.277,20.56684,19.66227,19.1747,11.984,0.307,9999,9999,9999,9999,9999,9999,21.2083,0.2154073
1237652901825019929,7.30921456211794,-9.00448332552835,-0.002599582,18.82886,18.40736,18.17559,17.86086,14.518,13.368,18.84278,18.42659,18.18855,9.822,0.047,16.586,0.127,16.138,9999,15.215,0.154,19.43235,2.080803
1237652901825085487,7.53915879546577,-9.03975992933083,-0.1777966,18.03814,17.94012,17.61865,17.60854,14.58,13.397,18.05078,17.93196,17.61803,10.512,0.075,16.747,0.16,15.696,0.158,15.746,9999,18.06542,1.788024
1237652901825282128,7.93723754877969,-9.10561693413842,-2.373365,18.48533,18.37065,18.51624,18.40181,13.99,12.835,18.5056,18.3815,18.53593,10.142,0.061,9999,9999,9999,9999,9999,9999,18.65445,0.9556686
1237652901827837984,13.7874369615144,-8.98743673314766,-0.08989762,18.8008,18.73726,18.75767,18.57353,15.866,14.876,18.81071,18.74008,18.76529,11.457,0.184,9999,9999,9999,9999,9999,9999,19.50357,2.485953
1237652946381635815,8.05522366180519,-10.9695235753105,-1.046394,19.95974,19.55942,19.16343,19.08372,15.916,14.456,19.97109,19.56895,19.18325,11.385,0.172,9999,9999,9999,9999,9999,9999,20.72826,1.695151
1237653651836961252,4.72732327698452,14.8789598035352,-13.71779,21.36305,20.3052,19.40253,19.1957,15.818,14.638,22.99346,22.02074,20.95535,11.086,0.177,9999,9999,9999,9999,9999,9999,23.31402,0.2087228
1237653652373504333,3.99979126503877,15.3942587252913,-0.03546107,21.412,20.10312,19.91187,19.96273,15.963,15.558,21.39966,20.09214,19.89575,11.768,0.254,9999,9999,9999,9999,9999,9999,24.87151,3.770929
1237656971300962435,10.5647405492199,-0.582071270684577,-2.095949,19.88117,19.66344,19.57353,19.36117,16.667,15.468,19.90013,19.66731,19.56194,12.206,0.368,9999,9999,9999,9999,9999,9999,20.13137,2.111
1237657065792733411,17.5291272161254,-3.06180346686718,-2.734189,21.54878,21.69756,21.43078,21.6988,17.107,16.258,21.57228,21.7414,21.4726,12.608,9999,9999,9999,9999,9999,9999,9999,21.93631,1.687501
1237657066329604311,17.5037414673182,-2.57725776995249,-1.999979,20.34186,19.97196,19.81573,19.52329,15.802,15.26,20.34519,19.96267,19.80196,11.391,0.176,9999,9999,9999,9999,9999,9999,21.60607,2.639385
1237657066329866336,18.1242950502309,-2.57315112212487,-20.57515,18.10147,17.81951,17.56118,17.43138,14.758,13.582,18.11891,17.82659,17.57166,10.057,0.054,16.339,0.105,16.048,0.151,15.614,0.17,19.35367,2.857433
