ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237649768106165013,358.830552047723,57.1708728016721,-2575.738,14.98407,13.69834,13.00173,12.97441,10.523,10.629,15.00064,13.63121,12.98811,10.579,0.059,11.514,0.022,10.86,0.02,10.7,0.021,17.34796,-2.654267E-05
1237649921111031994,9.96917918368865,15.8276728948642,-0.8489338,17.76256,17.20309,16.9916,16.88482,15.508,16.016,17.76177,17.19995,16.99291,12.542,9999,16.038,0.077,15.599,0.102,15.37,9999,19.04901,-0.0001674526
1237652628565196987,8.08782118602694,-11.1726536168598,-15.2731,21.42455,19.92668,18.58879,17.90084,15.308,15.122,21.44362,19.95407,18.62235,12.69,9999,16.475,0.147,15.803,0.177,15.352,9999,24.15482,0.000133276
1237652630713139269,9.13089256875597,-9.45301852832625,-1.268235,18.1897,17.80862,17.67845,17.56139,16.386,16.304,18.20177,17.81555,17.67725,12.548,9999,16.549,0.119,15.996,9999,15.748,0.252,19.26688,-0.000159646
1237652630713335860,9.60082720942978,-9.43903868875149,-6.281982,17.55325,16.72832,16.40324,16.19692,14.342,14.302,17.55548,16.73081,16.41134,12.621,9999,15.121,0.042,14.512,0.037,14.437,0.073,19.77745,-0.0004176125
1237652900751147047,7.07773565460066,-9.8508509909684,-53.38669,15.71091,15.15736,14.98797,14.92937,13.583,13.635,15.74046,15.17472,15.0008,12.405,9999,14.074,0.03,13.609,0.031,13.556,0.039,17.22479,-5.877951E-05
1237652900751278157,7.3087159613203,-9.79552971815362,-0.1542304,19.55586,18.26809,17.64234,17.25909,15.233,15.244,19.55277,18.26256,17.63491,12.693,9999,16.018,0.083,15.446,0.11,15.188,0.168,21.69,0.0003339395
1237652900751343648,7.47010975277411,-9.80072411381371,-3.424192,18.81861,18.27032,18.08127,17.93902,14.489,14.543,18.81554,18.25753,18.07543,12.698,9999,15.009,0.048,14.6,0.076,14.771,0.111,20.30748,2.429989E-05
1237652947990806607,4.67085620774374,-9.61370706840689,-0.7221522,18.69534,18.25748,18.05325,17.94536,16.896,16.564,18.70472,18.24896,18.04932,12.142,9999,9999,9999,9999,9999,9999,9999,19.74527,-0.000521399
1237652947991789673,7.0174884213416,-9.73392155758902,-0.4061289,18.99362,18.38861,18.1416,18.06907,16.814,16.648,18.99226,18.41134,18.16261,12.455,9999,9999,9999,9999,9999,9999,9999,20.58379,-0.0001692053
1237652948528791604,7.29954460273956,-9.2887038879309,-4.822115,17.15707,16.10648,15.73206,15.53492,13.713,13.766,17.13824,16.09966,15.72275,12.695,9999,14.458,0.029,13.914,0.042,13.767,0.046,19.65523,9.449485E-05
1237652948529447017,8.77896537628132,-9.2802176500422,-0.9505076,17.95428,17.51102,17.30281,17.22008,15.923,16.101,17.96868,17.50789,17.30676,12.716,9999,16.362,0.103,16.065,0.171,15.131,9999,19.14042,-0.0002467465
1237652949065138239,6.03467799450158,-8.84863559524277,-9.116307,18.94276,17.57941,16.97811,16.60909,14.519,14.345,18.9341,17.57764,16.96988,11.978,9999,15.481,0.049,14.803,0.062,14.693,0.113,21.37945,2.643299E-05
1237653652912013602,7.8302160771467,15.6295759927048,-116.8577,22.48854,20.47475,19.45217,18.93206,15.328,14.904,23.33543,21.48192,20.48266,12.289,9999,9999,9999,9999,9999,9999,9999,25.13511,-0.0003502012
1237656494041137377,2.90797320303778,13.8751943245534,-11.63165,17.84037,16.76397,16.38091,16.16769,13.643,13.745,17.76729,16.74342,16.38016,11.892,9999,14.577,0.034,14.002,0.038,13.875,0.059,20.16086,-0.0001337646
1237656495653454231,6.84714949827378,15.1894899019404,-40.5784,21.68307,20.25364,19.84498,18.89576,16.932,15.318,21.68686,20.2694,19.94281,11.744,9999,9999,9999,9999,9999,9999,9999,24.47799,8.268452E-07
1237656496189670067,5.40114120366337,15.5456808235778,-22.37676,21.55574,20.13523,19.35426,19.01212,16.839,16.344,22.16928,20.71988,19.86504,12.443,9999,9999,9999,9999,9999,9999,9999,25.85891,5.110353E-05
1237656496725491977,2.9086208541512,15.9337180407571,-0.0006986143,22.15219,20.52112,18.89004,17.9711,15.428,15.185,22.11691,20.51238,18.89202,12.373,9999,16.618,0.119,15.867,0.12,14.845,9999,26.27686,-3.874467E-05
1237656496727261335,7.08383483357608,16.0245654265167,-0.04149974,18.99033,18.68157,18.55186,18.50656,17.308,16.813,19.02266,18.68636,18.55378,12.494,9999,9999,9999,9999,9999,9999,9999,19.96998,-0.0006184945
1237656496727654497,7.9711930985394,15.8242392942432,-14.30689,16.15166,15.67549,15.5231,15.45883,14.029,14.077,16.14067,15.69551,15.51907,12.488,9999,14.646,0.059,14.174,0.057,14.164,0.054,17.44147,-0.0002374728
1237656971300438084,9.26806593422879,-0.478898213146684,-4.33145,19.93369,18.63293,18.06166,17.75138,15.413,15.101,19.92567,18.63218,18.06014,12.368,9999,16.705,0.106,15.795,0.125,15.37,0.167,22.82879,-9.52855E-05
1237656971300569475,9.56974754475635,-0.486707085615648,-1.444816,21.95903,21.96404,21.58953,21.15547,17.078,16.871,21.98269,21.94647,21.54793,12.076,9999,9999,9999,9999,9999,9999,9999,23.87098,-0.0001134375
1237656971300634774,9.81425618257435,-0.491120731106788,-15.72327,18.76054,17.221,16.18873,15.60985,13.321,13.193,18.76624,17.21426,16.15306,11.816,9999,14.318,0.03,13.749,0.035,13.571,0.044,21.33181,0.0001332029
1237657189833310337,4.25281458623414,-1.03640764843552,-3330.806,18.83228,17.31661,16.39019,15.88452,13.575,13.464,18.80214,17.30587,16.4018,12.286,9999,14.628,0.035,14.01,0.04,13.747,0.053,21.57507,0.0001497227
1237657189833310498,4.24542112957738,-0.963268136028578,-68.90381,18.38392,16.96388,15.76366,15.13431,12.791,12.612,18.36518,16.95199,15.75092,11.951,9999,13.795,0.026,13.203,0.022,12.96,0.033,21.11323,9.464621E-05
1237657189833376094,4.30314609672303,-0.908685134988327,-71.35636,20.27389,18.73707,17.55918,16.90305,14.607,14.526,20.32289,18.80145,17.62371,12.65,9999,15.584,0.06,15.004,0.077,14.7,0.123,22.74685,4.504928E-05
1237657189833441553,4.44749117924141,-0.886043467970489,-1.192257,21.5871,20.13873,18.88349,18.23033,16.179,16.152,21.56818,20.13252,18.88322,12.7,9999,16.774,0.138,16.741,0.308,16.92,9999,23.95937,-7.435461E-05
1237657189833769322,5.19125516952329,-0.895008779968001,-7.247177,20.53914,19.19559,18.31146,17.81917,15.722,16.02,20.55601,19.22216,18.32066,12.781,9999,16.836,0.144,15.92,0.151,16.407,9999,23.055,4.590498E-05
1237657189834293344,6.38615332826521,-0.953272936717896,-0.4105735,19.10565,17.87681,17.41311,17.15243,15.262,15.408,19.09845,17.88984,17.41027,12.692,9999,16.198,0.085,15.389,0.068,15.064,0.137,21.64338,-4.768891E-05
1237657189834818342,7.62808923606781,-0.945790317218873,-0.7302323,24.16892,22.3868,20.83841,19.78908,16.375,16.143,24.20835,22.3994,20.83522,12.518,9999,9999,9999,9999,9999,9999,9999,25.80363,-0.0002413133
1237657189835014342,8.15591032078419,-1.01617593185349,-4.145832,20.4524,19.03459,17.96852,17.4254,15.009,15.091,20.43183,19.04492,17.95515,11.802,9999,16.232,0.085,15.428,0.086,15.039,0.13,23.28079,1.795348E-05
1237657189835079787,8.22318019581564,-0.96439239330876,-1.565216,19.29071,18.84528,18.66426,18.64297,17.263,16.618,19.31012,18.84984,18.66146,12.295,9999,9999,9999,9999,9999,9999,9999,20.31814,-0.0001339409
1237657189835210883,8.55130927632905,-0.843625833143065,-9.651649,18.03409,16.74586,16.19934,15.89165,13.821,13.863,18.00767,16.73881,16.19161,12.497,0.479,14.717,0.033,14.043,0.027,13.882,0.043,20.67586,-6.050193E-05
1237657189835341967,8.90954025950583,-1.01356603316543,-0.787227,19.94645,19.02893,18.70495,18.55547,16.565,16.457,19.94313,19.02007,18.70258,12.491,9999,9999,9999,9999,9999,9999,9999,21.93599,-0.0001362707
1237657189835538578,9.25741417894392,-0.986933915873155,-0.2085006,18.95443,18.66731,18.53545,18.48726,17.129,16.542,18.96882,18.68867,18.54353,12.503,9999,9999,9999,9999,9999,9999,9999,19.91403,0.0003051587
